Harry Potter si Piatra Filozofala,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,1997
Mandrie si Prejudecata,Jane Austen,Romanciera engleza din secolul XIX,Romantic,1813
Crima si pedeapsa,Fiodor Dostoievski,Scriitor rus clasic,Psihologic,1866
1984,George Orwell,Scriitor britanic,Distopie,1949
Micul Print,Antoine de Saint-Exupery,Scriitor si aviator francez,Alegorie,1943
Toate panzele sus!,Radu Tudoran,Scriitor roman de aventuri,Aventura,1954
Morometii,Marin Preda,Scriitor roman realist,Drama,1955
Baltagul,Mihail Sadoveanu,Clasic al literaturii romane,Drama,1930
Ion,Liviu Rebreanu,Scriitor roman interbelic,Realism,1920
Amintiri din copilarie,Ion Creanga,Autor roman de basme si povestiri,Umoristic,1881
Enigma Otiliei,George Calinescu,Critic si romancier roman,Psihologic,1938
Shogun,James Clavell,Scriitor britanic, Istoric,1975
Hobbitul,J.R.R. Tolkien,Creatorul lumii Middle Earth,Fantasy,1937
Frankenstein,Mary Shelley,Autoare gotica,Science Fiction,1818
Dune,Frank Herbert,Autor american de SF,Science Fiction,1965
Harry Potter si Camera Secretelor,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,1998
Harry Potter si Prizonierul din Azkaban,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,1999
Harry Potter si Pocalul de Foc,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,2000
Harry Potter si Ordinul Phoenix,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,2003
Harry Potter si Printul Semipur,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,2005
Harry Potter si Talismanele Mortii,J.K. Rowling,Autoare britanica celebra pentru seria Harry Potter,Fantasy,2007
Animal Farm,George Orwell,Scriitor britanic,Satira,1945
Emma,Jane Austen,Romanciera engleza din secolul XIX,Romantic,1815
Sense and Sensibility,Jane Austen,Romanciera engleza din secolul XIX,Romantic,1811
Norwegian Wood,Haruki Murakami,Scriitor japonez contemporan,Fictiune,1987
Kafka pe malul marii,Haruki Murakami,Scriitor japonez contemporan,Fictiune,2002
